domain,dataset,problem_id,problem_key,run_index,is_correct,variant,oof_score
math,aime24,64,aime24:64,20,1,base_only,0.67317753041343
math,aime24,64,aime24:64,38,0,base_only,0.7050811678681694
math,aime24,64,aime24:64,53,1,base_only,0.1710768927891589
math,aime24,64,aime24:64,54,0,base_only,0.5768901528231638
math,aime24,66,aime24:66,20,1,base_only,0.5283227824716387
math,aime24,66,aime24:66,24,0,base_only,0.9312558443266236
math,aime24,68,aime24:68,30,1,base_only,0.5091041875252608
math,aime24,68,aime24:68,38,0,base_only,0.6143413179237076
math,aime24,68,aime24:68,43,1,base_only,0.7710937819947657
math,aime24,68,aime24:68,55,1,base_only,0.5883069668206682
math,aime24,70,aime24:70,5,0,base_only,0.8357579468793277
math,aime24,70,aime24:70,7,1,base_only,0.8971430468907204
math,aime24,70,aime24:70,53,1,base_only,0.6595789293381135
math,aime24,70,aime24:70,55,0,base_only,0.6842150392021364
math,aime24,73,aime24:73,31,0,base_only,0.45834271092321577
math,aime24,73,aime24:73,40,0,base_only,0.46821357460087804
math,aime24,73,aime24:73,44,1,base_only,0.24076848747917903
math,aime24,73,aime24:73,62,1,base_only,0.10622973646314807
math,aime24,75,aime24:75,8,1,base_only,0.8742495407164131
math,aime24,75,aime24:75,12,0,base_only,0.6873268478077468
math,aime24,75,aime24:75,39,0,base_only,0.7489647985730591
math,aime24,75,aime24:75,51,1,base_only,0.6391717749372835
math,aime24,76,aime24:76,3,0,base_only,0.16696999596053266
math,aime24,76,aime24:76,32,1,base_only,0.7714861877317416
math,aime24,76,aime24:76,35,0,base_only,0.6527663448071475
math,aime24,76,aime24:76,56,1,base_only,0.8673761879352
math,aime24,77,aime24:77,14,0,base_only,0.29896405896342293
math,aime24,77,aime24:77,32,1,base_only,0.2653536804050536
math,aime24,77,aime24:77,37,0,base_only,0.210743626821967
math,aime24,77,aime24:77,44,1,base_only,0.5908942743422364
math,aime24,78,aime24:78,1,1,base_only,0.9134526923571156
math,aime24,78,aime24:78,22,0,base_only,0.9390210513814685
math,aime24,78,aime24:78,42,1,base_only,0.7241123511420743
math,aime24,78,aime24:78,56,0,base_only,0.9473934240221293
math,aime24,80,aime24:80,24,1,base_only,0.34737942173594616
math,aime24,80,aime24:80,29,1,base_only,0.7143931335961538
math,aime24,80,aime24:80,43,0,base_only,0.5402766631944765
math,aime24,80,aime24:80,62,0,base_only,0.5568336663783121
math,aime24,82,aime24:82,1,1,base_only,0.7647273587842686
math,aime24,82,aime24:82,18,1,base_only,0.8093566562502701
math,aime24,82,aime24:82,35,0,base_only,0.8693183589832642
math,aime24,82,aime24:82,51,0,base_only,0.489567931931391
math,aime24,83,aime24:83,8,1,base_only,0.6230179997109839
math,aime24,83,aime24:83,18,0,base_only,0.6487621260162619
math,aime24,83,aime24:83,53,1,base_only,0.6651627427519202
math,aime24,83,aime24:83,55,1,base_only,0.722784013803174
math,aime24,85,aime24:85,30,1,base_only,0.2397268509971873
math,aime24,85,aime24:85,46,0,base_only,0.34187637595506687
math,aime24,85,aime24:85,49,1,base_only,0.41057886284821926
math,aime24,85,aime24:85,53,0,base_only,0.4576416507372662
math,aime24,87,aime24:87,13,1,base_only,0.7678050029192157
math,aime24,87,aime24:87,54,0,base_only,0.7208764774343895
math,aime24,87,aime24:87,55,0,base_only,0.9330377252959587
math,aime24,88,aime24:88,9,1,base_only,0.2204846956137753
math,aime24,88,aime24:88,29,0,base_only,0.6984766742776656
math,aime24,88,aime24:88,37,1,base_only,0.2742726553622043
math,aime24,88,aime24:88,59,0,base_only,0.4296472712460762
math,aime24,89,aime24:89,4,0,base_only,0.16823927077405634
math,aime24,89,aime24:89,17,1,base_only,0.4251186869631135
math,aime24,89,aime24:89,33,1,base_only,0.1408850476104129
math,aime24,89,aime24:89,39,0,base_only,0.28177741398289713
math,aime25,1,aime25:1,14,1,base_only,0.834112907598074
math,aime25,1,aime25:1,17,1,base_only,0.5504333085985664
math,aime25,1,aime25:1,23,0,base_only,0.0889461408310624
math,aime25,1,aime25:1,62,1,base_only,0.39506176094889384
math,aime25,10,aime25:10,20,0,base_only,0.237406936866116
math,aime25,10,aime25:10,24,1,base_only,0.5661521636890415
math,aime25,10,aime25:10,28,1,base_only,0.43066239723652133
math,aime25,10,aime25:10,44,0,base_only,0.4215359788282651
math,aime25,11,aime25:11,23,0,base_only,0.31379269036959784
math,aime25,11,aime25:11,24,1,base_only,0.5741947970899189
math,aime25,11,aime25:11,46,1,base_only,0.3462205794523753
math,aime25,11,aime25:11,55,0,base_only,0.18484434586250412
math,aime25,17,aime25:17,4,1,base_only,0.4221377875200349
math,aime25,17,aime25:17,8,0,base_only,0.5517541617937638
math,aime25,17,aime25:17,42,1,base_only,0.7906044594709569
math,aime25,17,aime25:17,57,0,base_only,0.7318284089581735
math,aime25,19,aime25:19,9,0,base_only,0.48956995403348474
math,aime25,19,aime25:19,27,1,base_only,0.253494087575931
math,aime25,19,aime25:19,35,0,base_only,0.6302239886846481
math,aime25,19,aime25:19,58,1,base_only,0.8766920814957586
math,aime25,21,aime25:21,3,0,base_only,0.7956248432812723
math,aime25,21,aime25:21,6,0,base_only,0.7217811341112569
math,aime25,21,aime25:21,20,1,base_only,0.6907514222291605
math,aime25,22,aime25:22,7,1,base_only,0.7514163785537497
math,aime25,22,aime25:22,16,0,base_only,0.6158389347304514
math,aime25,22,aime25:22,23,0,base_only,0.4334544878757998
math,aime25,22,aime25:22,44,1,base_only,0.4768749410622398
math,aime25,23,aime25:23,1,0,base_only,0.5038869675850268
math,aime25,23,aime25:23,14,0,base_only,0.18976865900923798
math,aime25,23,aime25:23,52,1,base_only,0.15255023939244378
math,aime25,23,aime25:23,61,1,base_only,0.41654538451105244
math,aime25,24,aime25:24,17,1,base_only,0.4988480759313695
math,aime25,24,aime25:24,44,1,base_only,0.46439412646447337
math,aime25,24,aime25:24,57,0,base_only,0.4921659201588729
math,aime25,25,aime25:25,19,1,base_only,0.7022139920318853
math,aime25,25,aime25:25,35,1,base_only,0.9007693815469439
math,aime25,25,aime25:25,53,0,base_only,0.6291961957802175
math,aime25,25,aime25:25,58,0,base_only,0.32461085758162267
math,aime25,28,aime25:28,40,0,base_only,0.6833247517105132
math,aime25,28,aime25:28,48,0,base_only,0.4105869996318863
math,aime25,28,aime25:28,54,1,base_only,0.848515605228035
math,aime25,28,aime25:28,58,1,base_only,0.6863515598669606
math,aime25,3,aime25:3,2,1,base_only,0.6855064073455067
math,aime25,3,aime25:3,9,0,base_only,0.09603063409243821
math,aime25,3,aime25:3,28,1,base_only,0.684301606429589
math,aime25,3,aime25:3,32,0,base_only,0.050656132296945405
math,aime25,6,aime25:6,2,0,base_only,0.17750336884815013
math,aime25,6,aime25:6,10,0,base_only,0.25044475642117564
math,aime25,6,aime25:6,18,1,base_only,0.22717245379563222
math,aime25,6,aime25:6,62,1,base_only,0.370995351143678
math,aime25,7,aime25:7,10,0,base_only,0.0555560392380915
math,aime25,7,aime25:7,17,0,base_only,0.08412736189669771
math,aime25,7,aime25:7,22,1,base_only,0.6022506403880321
math,aime25,7,aime25:7,23,1,base_only,0.8077752684504983
math,aime25,8,aime25:8,7,0,base_only,0.10302154706914707
math,aime25,8,aime25:8,40,0,base_only,0.22825637987892014
math,aime25,8,aime25:8,42,1,base_only,0.9787711259681658
math,aime25,8,aime25:8,58,1,base_only,0.6630889679354776
math,aime25,9,aime25:9,8,1,base_only,0.5350859046210606
math,aime25,9,aime25:9,28,0,base_only,0.5397403891846178
math,aime25,9,aime25:9,55,0,base_only,0.3678539002215612
math,aime25,9,aime25:9,58,1,base_only,0.580042340566125
math,brumo25,brumo25-0,brumo25:brumo25-0,2,1,base_only,0.8507840609617592
math,brumo25,brumo25-0,brumo25:brumo25-0,40,1,base_only,0.47000442665312026
math,brumo25,brumo25-0,brumo25:brumo25-0,47,0,base_only,0.5889496814964816
math,brumo25,brumo25-0,brumo25:brumo25-0,50,0,base_only,0.1843049873482043
math,brumo25,brumo25-11,brumo25:brumo25-11,4,1,base_only,0.7573564966923293
math,brumo25,brumo25-11,brumo25:brumo25-11,23,0,base_only,0.6239408972933186
math,brumo25,brumo25-11,brumo25:brumo25-11,28,1,base_only,0.6850942309794346
math,brumo25,brumo25-11,brumo25:brumo25-11,47,0,base_only,0.3536093096040369
math,brumo25,brumo25-12,brumo25:brumo25-12,3,0,base_only,0.4359936164540979
math,brumo25,brumo25-12,brumo25:brumo25-12,16,0,base_only,0.24826286842376644
math,brumo25,brumo25-12,brumo25:brumo25-12,29,1,base_only,0.21282849412660626
math,brumo25,brumo25-12,brumo25:brumo25-12,43,0,base_only,0.28732252565376526
math,brumo25,brumo25-13,brumo25:brumo25-13,23,1,base_only,0.8804430449069025
math,brumo25,brumo25-13,brumo25:brumo25-13,30,1,base_only,0.901620971267975
math,brumo25,brumo25-13,brumo25:brumo25-13,47,0,base_only,0.04812154911674002
math,brumo25,brumo25-13,brumo25:brumo25-13,63,1,base_only,0.8377071068662564
math,brumo25,brumo25-14,brumo25:brumo25-14,41,0,base_only,0.13074326747157736
math,brumo25,brumo25-14,brumo25:brumo25-14,44,1,base_only,0.6374609040885413
math,brumo25,brumo25-14,brumo25:brumo25-14,49,1,base_only,0.8636414045935948
math,brumo25,brumo25-14,brumo25:brumo25-14,55,0,base_only,0.3422060163272086
math,brumo25,brumo25-16,brumo25:brumo25-16,11,0,base_only,0.778101076696555
math,brumo25,brumo25-16,brumo25:brumo25-16,16,1,base_only,0.6557696105431946
math,brumo25,brumo25-16,brumo25:brumo25-16,57,0,base_only,0.5889599984646741
math,brumo25,brumo25-16,brumo25:brumo25-16,59,1,base_only,0.6790207270621454
math,brumo25,brumo25-2,brumo25:brumo25-2,27,0,base_only,0.027736292172765416
math,brumo25,brumo25-2,brumo25:brumo25-2,37,1,base_only,0.8835397535988008
math,brumo25,brumo25-2,brumo25:brumo25-2,47,1,base_only,0.5044310460276247
math,brumo25,brumo25-2,brumo25:brumo25-2,51,1,base_only,0.7086066639174335
math,brumo25,brumo25-21,brumo25:brumo25-21,9,1,base_only,0.49381838546117846
math,brumo25,brumo25-21,brumo25:brumo25-21,13,1,base_only,0.45933753314707176
math,brumo25,brumo25-21,brumo25:brumo25-21,42,0,base_only,0.1250545010251369
math,brumo25,brumo25-21,brumo25:brumo25-21,43,0,base_only,0.3157088390681176
