domain,dataset,problem_id,problem_key,run_index,is_correct,parse_ok,think_chars,think_total_chars,knot_present,knot_present_bin,knot_severity,primary_trigger,trace_strategy,reversal_count,state_consistency,recovers_later,annotator_confidence,knot_quote,open_diagnosis,knot_symptoms,knot_count,sym_entity_binding_drift,sym_mechanism_frame_swap,sym_constraint_mismatch,sym_evidence_misread,sym_unit_scale_slip,sym_repair_without_recovery
science,gpqa,gpqa-13,gpqa:gpqa-13,11,0,1,12010,12010,yes,1,2,evidence_matching,evidence_matching,1,minor_slip,yes,medium,"But the question says 'disappeared,' meaning no peaks are called in those regions with PFA+DSG fixation.","The model misreads the evidence by equating 'disappeared peaks' with 'no peaks are called', which leads to a mismatch in the interpretation of the evidence and the subsequent reasoning.",constraint_mismatch|evidence_misread,2,0,0,1,1,0,0
science,gpqa,gpqa-13,gpqa:gpqa-13,21,1,1,11971,11971,yes,1,2,symbol_binding,symbolic_manipulation,3,minor_slip,yes,medium,"DSG – is that diglycine sulfate or something? In some contexts, DSG might refer to diethyl glycol sebacate or another fixative, but I think in this context, it's likely that DSG is formaldehyde...","The model exhibits instability in its reasoning about the identity of DSG, leading to a drift in the active entity and mechanism frame. The constraint on the fixative's role in ChIP-seq is also mismatched.",entity_binding_drift|mechanism_frame_swap|constraint_mismatch,3,1,1,1,0,0,0
science,gpqa,gpqa-13,gpqa:gpqa-13,48,0,1,12723,12723,yes,1,2,symbol_binding,symbolic_manipulation,1,minor_slip,yes,medium,"DSG – I think it might be DSG for Disuccinimidyl glutarate or something, but in the context, PFA+DSG fixation. Perhaps DSG is a fixative like formaldehyde or something else.","The model exhibits instability in its reasoning by repeatedly changing the interpretation of the abbreviation 'DSG', leading to confusion about the fixative being discussed. This causes a drift in the entity being referred to and a mismatch in the mechanism frame, as the model switches between different fixatives without acknowledging the change.",entity_binding_drift|mechanism_frame_swap|constraint_mismatch,3,1,1,1,0,0,0
science,gpqa,gpqa-13,gpqa:gpqa-13,49,1,1,11973,11973,yes,1,2,symbol_binding,symbolic_manipulation,1,minor_slip,yes,medium,"DSG is probably DSP (dithiolethanol), but I think it might be a typo or abbreviation for something else.","The model exhibits instability in its reasoning by repeatedly changing the interpretation of the abbreviation 'DSG', which leads to uncertainty in the mechanism and constraint of the fixation process.",entity_binding_drift|mechanism_frame_swap|constraint_mismatch,3,1,1,1,0,0,0
science,gpqa,gpqa-146,gpqa:gpqa-146,45,1,1,15214,15214,yes,1,2,mechanism_frame_swap,symbolic_manipulation,3,recovered_break,yes,medium,"Perhaps A is a meson or something. m_A c² = 300 MeV, so it's a particle with mass 300 MeV/c².","The model initially assumes A is a particle with mass 300 MeV/c², but later revisits the identity of A without acknowledging the change, leading to confusion about the mechanism and constraints involved in the problem.",mechanism_frame_swap|constraint_mismatch|repair_without_recovery,3,0,1,1,0,0,1
science,gpqa,gpqa-146,gpqa:gpqa-146,47,1,1,15621,24297,yes,1,2,constraint_tracking,mechanism_tracing,3,recovered_break,yes,medium,"But in the final state, we have four particles, so they must have some kinetic energy to conserve energy and momentum.","The model initially assumes that the final state particles must have kinetic energy to conserve energy and momentum. However, later in the reasoning, it revisits this assumption and considers the possibility that the particles could be at rest, which would violate the initial constraint. The model does not immediately correct this inconsistency, leading to a period of reasoning with a potentially inconsistent state.",constraint_mismatch|repair_without_recovery,2,0,0,1,0,0,1
science,gpqa,gpqa-146,gpqa:gpqa-146,51,1,1,15618,20757,yes,1,2,constraint_tracking,mechanism_tracing,3,recovered_break,yes,medium,"In the CM frame, the total energy is E_cm = sqrt( s ) ≈ 1876 MeV (since antiproton slow, s ≈ (1876)^2)","The model initially assumes a non-relativistic approximation for the antiproton, which leads to a calculation of the center of mass energy as 1876 MeV. However, later in the reasoning, the model revisits the calculation and acknowledges that the antiproton is not that slow, which implies a relativistic approach should be used. This inconsistency in the constraint of the approximation leads to a mismatch and requires multiple repairs to the calculation.",constraint_mismatch|repair_without_recovery,2,0,0,1,0,0,1
science,gpqa,gpqa-146,gpqa:gpqa-146,57,0,1,15619,27744,yes,1,2,constraint_tracking,mechanism_tracing,1,recovered_break,yes,medium,"The antiproton is slowly moving, so I can assume that in the center of mass frame, since it's slow, the total energy might be dominated by the rest mass.","The model initially assumes the antiproton's slow motion implies a rest mass-dominated total energy in the center of mass frame, which is a constraint. However, later in the reasoning, it seems to contradict this by considering the antiproton's kinetic energy, which was not accounted for in the initial constraint. This creates a mismatch in the active scientific state, but it is eventually resolved by considering the antiproton's kinetic energy in the lab frame.",constraint_mismatch|evidence_misread,2,0,0,1,1,0,0
science,gpqa,gpqa-148,gpqa:gpqa-148,4,1,1,9539,9539,yes,1,2,assumption_tracking,symbolic_manipulation,1,recovered_break,yes,medium,"Enantiomers have identical physical properties except for the rotation of plane-polarized light, but their NMR spectra are identical because the chemical environment is the same. NMR is a symmetry-based technique; enantiomers have the same NMR spectra in a racemic mixture because the sample is racemic, and the spectrum averages out or is identical. But in this case, the NMR shows two peaks for the same proton, suggesting different chemical environments.","The model initially assumes that enantiomers would have identical NMR spectra, which is a constraint. However, it later contradicts this by suggesting that the presence of two peaks for the same proton indicates different chemical environments, which is evidence against the assumption of identical spectra for enantiomers. The model does not immediately correct this assumption, leading to a temporary inconsistency in the reasoning.",mechanism_frame_swap|constraint_mismatch|evidence_misread,3,0,1,1,1,0,0
science,gpqa,gpqa-148,gpqa:gpqa-148,14,0,1,15497,17351,yes,1,2,evidence_matching,symbolic_manipulation,3,recovered_break,yes,medium,"In NMR, the two peaks for alpha-proton have similar chemical shifts, not necessarily different. It says 'similar chemical shifts', but it might be that they are not identical, just close.","The model initially treats the similarity of chemical shifts as a constraint, but later reasoning suggests they might not be identical, leading to a mismatch in the interpretation of the evidence. This is not immediately corrected, causing a break in the scientific state, which is later partially recovered.",constraint_mismatch|evidence_misread|repair_without_recovery,3,0,0,1,1,0,1
