domain,dataset,problem_id,problem_key,run_index,is_correct,parse_ok,think_chars,think_total_chars,raw_knot_present,raw_knot_severity,raw_primary_trigger,raw_trace_strategy,raw_reversal_count,raw_state_consistency,raw_recovers_later,raw_annotator_confidence,raw_knot_quote,raw_open_diagnosis,raw_knot_symptoms,protocol_filter,knot_present,knot_present_bin,knot_severity,primary_trigger,trace_strategy,reversal_count,state_consistency,recovers_later,annotator_confidence,knot_quote,open_diagnosis,knot_symptoms,knot_count,sym_entity_binding_drift,sym_mechanism_frame_swap,sym_constraint_mismatch,sym_evidence_misread,sym_unit_scale_slip,sym_repair_without_recovery
science,gpqa,gpqa-100,gpqa:gpqa-100,5,1,1,15621,20300,yes,2.0,symbol_binding,mechanism_tracing,3.0,lost_state,no,medium,"The product is 1-(cyclohexylidenemethyl)-3-methylpyrrolidine. 'Cyclohexylidenemethyl' sounds like it might be an enamine or something. Cyclohexylidene suggests a double bond, but 'methyl' might be attached.","The model struggles to consistently define the 'cyclohexylidenemethyl' group, leading to confusion about the mechanism and reagents involved in the reaction. This instability is not resolved later in the reasoning.",entity_binding_drift|mechanism_frame_swap|constraint_mismatch,science_strong_lost_state,yes,1,2,symbol_binding,mechanism_tracing,3.0,lost_state,no,medium,"The product is 1-(cyclohexylidenemethyl)-3-methylpyrrolidine. 'Cyclohexylidenemethyl' sounds like it might be an enamine or something. Cyclohexylidene suggests a double bond, but 'methyl' might be attached.","The model struggles to consistently define the 'cyclohexylidenemethyl' group, leading to confusion about the mechanism and reagents involved in the reaction. This instability is not resolved later in the reasoning.",entity_binding_drift|mechanism_frame_swap|constraint_mismatch,3,1,1,1,0,0,0
science,gpqa,gpqa-100,gpqa:gpqa-100,45,0,1,15621,33618,yes,2.0,symbol_binding,symbolic_manipulation,3.0,minor_slip,no,medium,"The product has 'cyclohexylidenemethyl', which sounds like a methylene group attached to a double bond or something. 'Cyclohexylidene' might refer to a double bond where cyclohexyl is attached, like in an enone or something.","The model struggles to consistently define the 'cyclohexylidenemethyl' group, leading to confusion about the mechanism and constraints involved in the reaction. This instability is not resolved later in the reasoning.",entity_binding_drift|mechanism_frame_swap|constraint_mismatch,science_no_hard_evidence,no,0,0,none,symbolic_manipulation,3.0,minor_slip,no,medium,"The product has 'cyclohexylidenemethyl', which sounds like a methylene group attached to a double bond or something. 'Cyclohexylidene' might refer to a double bond where cyclohexyl is attached, like in an enone or something.","The model struggles to consistently define the 'cyclohexylidenemethyl' group, leading to confusion about the mechanism and constraints involved in the reaction. This instability is not resolved later in the reasoning.",none,0,0,0,0,0,0,0
science,gpqa,gpqa-100,gpqa:gpqa-100,50,1,1,15620,21642,yes,2.0,symbol_binding,mechanism_tracing,3.0,minor_slip,yes,medium,"The product has 'cyclohexylidenemethyl', which probably means a methylene group attached to a double bond in cyclohexane. So, it might be a pyrrolidine ring with a substituent that is CH=cyclohexyl, but it's 'cyclohexylidenemethyl', which is probably (cyclohexylidene)methyl, meaning the carbene part is substituted.","The model struggles with the interpretation of 'cyclohexylidenemethyl', leading to a drift in entity identity and mechanism frame. The constraint of chemical nomenclature is not consistently applied, and the model's reasoning is inconsistent due to the ambiguity in the product name.",entity_binding_drift|mechanism_frame_swap|constraint_mismatch,science_no_hard_evidence,no,0,0,none,mechanism_tracing,3.0,minor_slip,yes,medium,"The product has 'cyclohexylidenemethyl', which probably means a methylene group attached to a double bond in cyclohexane. So, it might be a pyrrolidine ring with a substituent that is CH=cyclohexyl, but it's 'cyclohexylidenemethyl', which is probably (cyclohexylidene)methyl, meaning the carbene part is substituted.","The model struggles with the interpretation of 'cyclohexylidenemethyl', leading to a drift in entity identity and mechanism frame. The constraint of chemical nomenclature is not consistently applied, and the model's reasoning is inconsistent due to the ambiguity in the product name.",none,0,0,0,0,0,0,0
science,gpqa,gpqa-100,gpqa:gpqa-100,64,0,1,15621,33828,yes,2.0,symbol_binding,symbolic_manipulation,3.0,minor_slip,yes,medium,"The product is 1-(cyclohexylidenemethyl)-3-methylpyrrolidine. The name suggests that the pyrrolidine ring has been modified at position 1 or something. '1-' might refer to the carbon, but in naming, it could be the nitrogen side.","The model struggles with the interpretation of the product name, leading to confusion about the position of modification and the nature of the substituent. This confusion persists throughout the reasoning, causing a drift in entity identity and mechanism frames.",entity_binding_drift|mechanism_frame_swap|constraint_mismatch,science_no_hard_evidence,no,0,0,none,symbolic_manipulation,3.0,minor_slip,yes,medium,"The product is 1-(cyclohexylidenemethyl)-3-methylpyrrolidine. The name suggests that the pyrrolidine ring has been modified at position 1 or something. '1-' might refer to the carbon, but in naming, it could be the nitrogen side.","The model struggles with the interpretation of the product name, leading to confusion about the position of modification and the nature of the substituent. This confusion persists throughout the reasoning, causing a drift in entity identity and mechanism frames.",none,0,0,0,0,0,0,0
science,gpqa,gpqa-103,gpqa:gpqa-103,14,0,1,15620,17484,yes,2.0,symbol_binding,symbolic_manipulation,3.0,lost_state,no,medium,"K ∝ P^{-1/3}, so larger K means smaller P. But in my calculation, R = P2 / P1 = 2.744, but that can't be.","The model incorrectly assumes that K is inversely proportional to P (K ∝ P^{-1/3}) for the radial velocity method, leading to a contradiction when calculating the ratio of orbital periods. The model later corrects this assumption to K ∝ P^{1/2}, but the initial error leads to an inconsistency in the reasoning.",mechanism_frame_swap|repair_without_recovery,science_strong_lost_state,yes,1,2,symbol_binding,symbolic_manipulation,3.0,lost_state,no,medium,"K ∝ P^{-1/3}, so larger K means smaller P. But in my calculation, R = P2 / P1 = 2.744, but that can't be.","The model incorrectly assumes that K is inversely proportional to P (K ∝ P^{-1/3}) for the radial velocity method, leading to a contradiction when calculating the ratio of orbital periods. The model later corrects this assumption to K ∝ P^{1/2}, but the initial error leads to an inconsistency in the reasoning.",mechanism_frame_swap|repair_without_recovery,2,0,1,0,0,0,1
science,gpqa,gpqa-103,gpqa:gpqa-103,16,0,1,15620,28814,yes,2.0,symbol_binding,symbolic_manipulation,3.0,minor_slip,yes,medium,"Milliangstrom is a unit for wavelength, since angstrom is for length. But in RV method, the radial velocity is directly related to the wavelength shift.","The model struggles with the interpretation of 'miliangstrom' as a unit for radial velocity, leading to confusion between wavelength and velocity units. This confusion persists through multiple attempts to correct it without a stable resolution.",unit_scale_slip|repair_without_recovery,science_no_hard_evidence,no,0,0,none,symbolic_manipulation,3.0,minor_slip,yes,medium,"Milliangstrom is a unit for wavelength, since angstrom is for length. But in RV method, the radial velocity is directly related to the wavelength shift.","The model struggles with the interpretation of 'miliangstrom' as a unit for radial velocity, leading to confusion between wavelength and velocity units. This confusion persists through multiple attempts to correct it without a stable resolution.",none,0,0,0,0,0,0,0
science,gpqa,gpqa-103,gpqa:gpqa-103,50,1,1,12386,12386,yes,2.0,repair_loop,repair_without_recovery,3.0,recovered_break,yes,medium,"P2 / P1 = (Δλ_max1 / Δλ_max2)^3 ? No. P ∝ K^{-3}, and K ∝ Δλ_max, so P ∝ (Δλ_max)^{-3} So, P2 / P1 = [ (Δλ_max2)^{-3} ] / [ (Δλ_max1)^{-3} ] = (Δλ_max1 / Δλ_max2)^3 ? Let's think carefully.","The model repeatedly attempts to correct its understanding of the relationship between the spectral shift and the orbital period, but it does not resolve the inconsistency between the proportionality of the spectral shift to the radial velocity amplitude and the proportionality of the orbital period to the inverse cube root of the spectral shift.",repair_without_recovery|evidence_misread,science_no_hard_evidence,no,0,0,none,repair_without_recovery,3.0,recovered_break,yes,medium,"P2 / P1 = (Δλ_max1 / Δλ_max2)^3 ? No. P ∝ K^{-3}, and K ∝ Δλ_max, so P ∝ (Δλ_max)^{-3} So, P2 / P1 = [ (Δλ_max2)^{-3} ] / [ (Δλ_max1)^{-3} ] = (Δλ_max1 / Δλ_max2)^3 ? Let's think carefully.","The model repeatedly attempts to correct its understanding of the relationship between the spectral shift and the orbital period, but it does not resolve the inconsistency between the proportionality of the spectral shift to the radial velocity amplitude and the proportionality of the orbital period to the inverse cube root of the spectral shift.",none,0,0,0,0,0,0,0
science,gpqa,gpqa-103,gpqa:gpqa-103,55,1,1,14529,14529,yes,2.0,symbol_binding,evidence_matching,3.0,recovered_break,yes,medium,"But the question asks for how many times longer, so if P2 is shorter, then it's less than 1. But the question is 'how many times longer', which might be ambiguous.","The model struggles with interpreting the question's phrasing ('how many times longer') and the implications of the calculated ratio (P2/P1 < 1), leading to confusion and multiple revisions of the interpretation.",entity_binding_drift|constraint_mismatch|evidence_misread,science_no_hard_evidence,no,0,0,none,evidence_matching,3.0,recovered_break,yes,medium,"But the question asks for how many times longer, so if P2 is shorter, then it's less than 1. But the question is 'how many times longer', which might be ambiguous.","The model struggles with interpreting the question's phrasing ('how many times longer') and the implications of the calculated ratio (P2/P1 < 1), leading to confusion and multiple revisions of the interpretation.",none,0,0,0,0,0,0,0
science,gpqa,gpqa-104,gpqa:gpqa-104,6,1,1,15618,43787,yes,2.0,constraint_tracking,symbolic_manipulation,3.0,recovered_break,yes,medium,"The star has a radius equal to the Sun's, Teff = 6000K, and spots with a filling factor of 20%. The temperature difference between the spots and the photosphere is 1000K. One hemisphere is covered in spots, so the photometric variations are due to these spots.","The model initially uses a filling factor of 20% for the entire star, but later acknowledges that it should be 20% for one hemisphere. This inconsistency leads to confusion in the calculations and requires multiple corrections.",constraint_mismatch|repair_without_recovery,science_no_hard_evidence,no,0,0,none,symbolic_manipulation,3.0,recovered_break,yes,medium,"The star has a radius equal to the Sun's, Teff = 6000K, and spots with a filling factor of 20%. The temperature difference between the spots and the photosphere is 1000K. One hemisphere is covered in spots, so the photometric variations are due to these spots.","The model initially uses a filling factor of 20% for the entire star, but later acknowledges that it should be 20% for one hemisphere. This inconsistency leads to confusion in the calculations and requires multiple corrections.",none,0,0,0,0,0,0,0
science,gpqa,gpqa-104,gpqa:gpqa-104,16,1,1,15619,36598,yes,2.0,constraint_tracking,symbolic_manipulation,3.0,recovered_break,yes,medium,"The spot filling factor is 20%, so 20% of the hemisphere is covered in spots. But since it's one hemisphere, and the spots are dark, the brightness variation comes from the difference between the bright and dark parts as the star rotates.","The model incorrectly applies the filling factor to the entire hemisphere, leading to a mismatch in the constraint of the spot coverage. This is followed by a series of repairs that do not fully resolve the inconsistency.",constraint_mismatch|repair_without_recovery,science_no_hard_evidence,no,0,0,none,symbolic_manipulation,3.0,recovered_break,yes,medium,"The spot filling factor is 20%, so 20% of the hemisphere is covered in spots. But since it's one hemisphere, and the spots are dark, the brightness variation comes from the difference between the bright and dark parts as the star rotates.","The model incorrectly applies the filling factor to the entire hemisphere, leading to a mismatch in the constraint of the spot coverage. This is followed by a series of repairs that do not fully resolve the inconsistency.",none,0,0,0,0,0,0,0
