problem_key,run_index,is_correct,think_chars,knot_present,knot_present_bin,knot_severity,primary_trigger,trace_strategy,reversal_count,state_consistency,knot_quote,open_diagnosis,parse_error,sym_explicit_claim_reversal,sym_framework_collision,sym_formula_scope_violation,sym_irreparable_regression
gpqa:gpqa-109,4,0,15618,no,0,0,none,case_elimination,0,stable,,"The trace does not contain any explicit, unresolved contradictions between concrete claims about the same entity.",,0,0,0,0
gpqa:gpqa-109,8,1,15421,no,0,0,none,case_elimination,0,stable,,"The trace does not contain any explicit, unresolved contradictions between concrete claims about the same entity.",,0,0,0,0
gpqa:gpqa-109,30,1,15619,no,0,0,none,case_elimination,0,stable,,"The trace does not contain any explicit, unresolved contradictions between concrete claims about the same entity.",,0,0,0,0
gpqa:gpqa-109,47,1,11374,no,0,0,none,case_elimination,0,stable,,"The trace does not contain any explicit, unresolved contradictions between concrete claims about the same entity.",,0,0,0,0
gpqa:gpqa-112,38,1,15620,yes,1,3,formula_precondition,formula_derivation,0,self_contradictory,"Carboxylic acid has COOH, so two O atoms. So for C6H10O, it has one oxygen, so it can't be carboxylic acid, because carboxylic acid would be C6H10O2 or something.","The trace claims that a carboxylic acid must have two oxygen atoms, but then contradicts this by suggesting that C6H10O, which has only one oxygen, could be a carboxylic acid. This creates a self-contradictory situation.",,1,0,1,0
gpqa:gpqa-112,44,1,15621,no,0,0,none,case_elimination,0,stable,,"The trace does not contain any explicit, unresolved contradictions between concrete claims about the same entity.",,0,0,0,0
gpqa:gpqa-112,49,1,15195,no,0,0,none,mechanism_tracing,0,stable,,"The trace does not contain any explicit, unresolved contradictions between concrete claims about the same entity.",,0,0,0,0
gpqa:gpqa-112,60,0,15620,no,0,0,none,formula_derivation,0,stable,,"The trace does not contain any explicit, unresolved contradictions.",,0,0,0,0
gpqa:gpqa-116,33,1,15620,no,0,0,none,mechanism_tracing,0,stable,,"The model's reasoning does not contain explicit, unresolved contradictions. It explores various possibilities and revisits them, but always maintains a consistent line of reasoning without making incompatible claims about the same entity.",,0,0,0,0
gpqa:gpqa-116,49,0,15619,no,0,0,none,mechanism_tracing,0,stable,,"The trace does not contain any explicit, unresolved contradictions between concrete claims about the same entity.",,0,0,0,0
gpqa:gpqa-116,50,1,15621,no,0,0,none,mechanism_tracing,0,stable,,"The trace does not contain any explicit, unresolved contradictions between concrete claims about the same entity.",,0,0,0,0
gpqa:gpqa-116,54,1,15621,no,0,0,none,mechanism_tracing,0,stable,,"The trace does not contain any explicit, unresolved contradictions between concrete claims about the same entity.",,0,0,0,0
gpqa:gpqa-123,3,1,13508,no,0,0,none,formula_derivation,0,stable,,"The trace does not contain any explicit, unresolved contradictions between concrete claims about the same entity.",,0,0,0,0
gpqa:gpqa-123,20,0,15619,no,0,0,none,formula_derivation,0,stable,,"The trace does not contain any explicit, unresolved contradictions between concrete claims about the same entity.",,0,0,0,0
