domain,dataset,problem_id,problem_key,run_index,is_correct,parse_ok,think_chars,think_total_chars,raw_knot_present,raw_knot_severity,raw_primary_trigger,raw_trace_strategy,raw_reversal_count,raw_state_consistency,raw_recovers_later,raw_annotator_confidence,raw_knot_quote,raw_open_diagnosis,raw_knot_symptoms,protocol_filter,knot_present,knot_present_bin,knot_severity,primary_trigger,trace_strategy,reversal_count,state_consistency,recovers_later,annotator_confidence,knot_quote,open_diagnosis,knot_symptoms,knot_count,sym_entity_binding_drift,sym_mechanism_frame_swap,sym_constraint_mismatch,sym_evidence_misread,sym_unit_scale_slip,sym_repair_without_recovery
science,gpqa,gpqa-13,gpqa:gpqa-13,29,1,1,11891,11891,yes,2,symbol_binding,symbolic_manipulation,1,minor_slip,yes,medium,"DSG is probably dithioglycol or something similar, but I think it might be a typo or shorthand.","The model exhibits instability in its reasoning due to uncertainty about the identity of DSG, leading to a drift in the active entity and mechanism frame. This uncertainty is not resolved, causing a minor slip in the scientific state.",entity_binding_drift|mechanism_frame_swap|constraint_mismatch,science_no_hard_evidence,no,0,0,none,symbolic_manipulation,1,minor_slip,yes,medium,"DSG is probably dithioglycol or something similar, but I think it might be a typo or shorthand.","The model exhibits instability in its reasoning due to uncertainty about the identity of DSG, leading to a drift in the active entity and mechanism frame. This uncertainty is not resolved, causing a minor slip in the scientific state.",none,0,0,0,0,0,0,0
science,gpqa,gpqa-13,gpqa:gpqa-13,35,1,1,9234,9234,yes,2,symbol_binding,mechanism_tracing,3,minor_slip,yes,medium,IKAROS is a zinc-finger protein that binds to specific DNA sequences and is crucial for B-cell development. It binds to promoters and enhancers of genes involved in B-cell commitment.,"The model initially commits to IKAROS binding to promoters and enhancers, but later reasoning suggests it might bind elsewhere, creating a drift in entity binding and a mismatch in the mechanism frame. The constraint of IKAROS binding specificity is also violated without acknowledgment.",entity_binding_drift|mechanism_frame_swap|constraint_mismatch,science_no_hard_evidence,no,0,0,none,mechanism_tracing,3,minor_slip,yes,medium,IKAROS is a zinc-finger protein that binds to specific DNA sequences and is crucial for B-cell development. It binds to promoters and enhancers of genes involved in B-cell commitment.,"The model initially commits to IKAROS binding to promoters and enhancers, but later reasoning suggests it might bind elsewhere, creating a drift in entity binding and a mismatch in the mechanism frame. The constraint of IKAROS binding specificity is also violated without acknowledgment.",none,0,0,0,0,0,0,0
science,gpqa,gpqa-13,gpqa:gpqa-13,57,0,1,13048,13048,yes,2,symbol_binding,mechanism_tracing,3,minor_slip,yes,medium,The peaks disappear with DSG fixation but not with PFA. That means DSG fixation is affecting the binding or detection of IKAROS.,The model's reasoning shows a drift in the entity 'binding' from the initial understanding that DSG affects the detection of IKAROS to later discussions about the stability of binding in different genomic regions without a clear resolution of the initial instability. There is also a mismatch in the constraint of fixation methods affecting binding and a misreading of the evidence provided by the question's phrasing.,entity_binding_drift|constraint_mismatch|evidence_misread,science_no_hard_evidence,no,0,0,none,mechanism_tracing,3,minor_slip,yes,medium,The peaks disappear with DSG fixation but not with PFA. That means DSG fixation is affecting the binding or detection of IKAROS.,The model's reasoning shows a drift in the entity 'binding' from the initial understanding that DSG affects the detection of IKAROS to later discussions about the stability of binding in different genomic regions without a clear resolution of the initial instability. There is also a mismatch in the constraint of fixation methods affecting binding and a misreading of the evidence provided by the question's phrasing.,none,0,0,0,0,0,0,0
science,gpqa,gpqa-13,gpqa:gpqa-13,60,0,1,13152,13152,yes,2,symbol_binding,mechanism_tracing,1,minor_slip,yes,medium,"Perhaps with PFA fixation, some artifacts are being pulled down, but they don't survive stronger fixation.","The model's reasoning introduces a shift in the mechanism of peak disappearance, suggesting artifacts with PFA fixation, but later revisits the idea of transient or non-specific interactions without fully resolving the inconsistency.",entity_binding_drift|mechanism_frame_swap|constraint_mismatch,hedged_hypothesis,no,0,0,none,mechanism_tracing,1,minor_slip,yes,medium,"Perhaps with PFA fixation, some artifacts are being pulled down, but they don't survive stronger fixation.","The model's reasoning introduces a shift in the mechanism of peak disappearance, suggesting artifacts with PFA fixation, but later revisits the idea of transient or non-specific interactions without fully resolving the inconsistency.",none,0,0,0,0,0,0,0
science,gpqa,gpqa-148,gpqa:gpqa-148,14,0,1,15497,17351,yes,2,symbol_binding,mechanism_tracing,3,minor_slip,yes,medium,"In NMR, for a single proton, if it's exchanging or something, but usually, alpha-protons can be equivalent or not.","The model's reasoning about the alpha-proton's equivalence drifts between considering it as equivalent or not, leading to a mismatch in the mechanism frame and constraint use. This is not immediately corrected, and later reasoning is affected by this inconsistency.",entity_binding_drift|mechanism_frame_swap|constraint_mismatch,science_no_hard_evidence,no,0,0,none,mechanism_tracing,3,minor_slip,yes,medium,"In NMR, for a single proton, if it's exchanging or something, but usually, alpha-protons can be equivalent or not.","The model's reasoning about the alpha-proton's equivalence drifts between considering it as equivalent or not, leading to a mismatch in the mechanism frame and constraint use. This is not immediately corrected, and later reasoning is affected by this inconsistency.",none,0,0,0,0,0,0,0
science,gpqa,gpqa-148,gpqa:gpqa-148,24,1,1,13645,13645,yes,2,symbol_binding,mechanism_tracing,3,lost_state,no,medium,"But in this case, the integrals are similar and together integrate to 1H, which is expected for one proton. So, it's like two separate signals each contributing half or something, but that doesn't make sense because if they are for the same proton, it should integrate to 1H total.","The model incorrectly assumes that the two peaks must integrate to 1H total for the same proton, leading to a confusion about the nature of the peaks. This assumption is later contradicted by the model's own reasoning but not resolved.",entity_binding_drift|evidence_misread|repair_without_recovery,science_strong_lost_state,yes,1,2,symbol_binding,mechanism_tracing,3,lost_state,no,medium,"But in this case, the integrals are similar and together integrate to 1H, which is expected for one proton. So, it's like two separate signals each contributing half or something, but that doesn't make sense because if they are for the same proton, it should integrate to 1H total.","The model incorrectly assumes that the two peaks must integrate to 1H total for the same proton, leading to a confusion about the nature of the peaks. This assumption is later contradicted by the model's own reasoning but not resolved.",entity_binding_drift|evidence_misread|repair_without_recovery,3,1,0,0,1,0,1
science,gpqa,gpqa-148,gpqa:gpqa-148,27,1,1,14938,14938,yes,2,symbol_binding,mechanism_tracing,3,minor_slip,yes,medium,"In NMR, a single proton should give one signal. If there are two signals for the same proton, it might be due to different environments or exchange.","The model initially commits to the idea that a single proton should give one signal in NMR. However, later in the reasoning, it revisits this point without acknowledging the initial commitment, leading to a minor slip in state consistency. This is followed by a series of repairs without recovery, as the model continues to reason with the initial assumption without fully resolving the inconsistency.",entity_binding_drift|repair_without_recovery,science_repair_plus_contradiction,yes,1,2,symbol_binding,mechanism_tracing,3,minor_slip,yes,medium,"In NMR, a single proton should give one signal. If there are two signals for the same proton, it might be due to different environments or exchange.","The model initially commits to the idea that a single proton should give one signal in NMR. However, later in the reasoning, it revisits this point without acknowledging the initial commitment, leading to a minor slip in state consistency. This is followed by a series of repairs without recovery, as the model continues to reason with the initial assumption without fully resolving the inconsistency.",entity_binding_drift|repair_without_recovery,2,1,0,0,0,0,1
science,gpqa,gpqa-148,gpqa:gpqa-148,54,1,1,7470,7470,yes,1,symbol_binding,mechanism_tracing,1,recovered_break,yes,medium,"But in this case, the NMR shows two peaks for the same proton, which suggests that the proton is experiencing different electronic environments, so probably diastereomers.","The model initially identifies a problem with the same proton showing two peaks, suggesting diastereomers. However, it later revisits this conclusion without acknowledging the initial reasoning, potentially leading to confusion.",entity_binding_drift|mechanism_frame_swap,science_no_hard_evidence,no,0,0,none,mechanism_tracing,1,recovered_break,yes,medium,"But in this case, the NMR shows two peaks for the same proton, which suggests that the proton is experiencing different electronic environments, so probably diastereomers.","The model initially identifies a problem with the same proton showing two peaks, suggesting diastereomers. However, it later revisits this conclusion without acknowledging the initial reasoning, potentially leading to confusion.",none,0,0,0,0,0,0,0
science,gpqa,gpqa-22,gpqa:gpqa-22,22,1,1,15621,37624,yes,2,symbol_binding,symbolic_manipulation,3,lost_state,no,medium,"2,2-dimethylbut-3-en-1-yl: but-3-en-1-yl means the double bond is between C3 and C4, and C1 is attached. 2,2-dimethyl means two methyl groups on C2. So, it's (CH3)2C-C(CH3)=CH-CH3 or something? Let's sketch it.","The model struggles to consistently define the structure of the reactant, leading to confusion and multiple attempts to correct the definition without achieving stability.",entity_binding_drift|mechanism_frame_swap|repair_without_recovery,science_strong_lost_state,yes,1,2,symbol_binding,symbolic_manipulation,3,lost_state,no,medium,"2,2-dimethylbut-3-en-1-yl: but-3-en-1-yl means the double bond is between C3 and C4, and C1 is attached. 2,2-dimethyl means two methyl groups on C2. So, it's (CH3)2C-C(CH3)=CH-CH3 or something? Let's sketch it.","The model struggles to consistently define the structure of the reactant, leading to confusion and multiple attempts to correct the definition without achieving stability.",entity_binding_drift|mechanism_frame_swap|repair_without_recovery,3,1,1,0,0,0,1
science,gpqa,gpqa-22,gpqa:gpqa-22,30,0,1,15619,38123,yes,2,symbol_binding,symbolic_manipulation,3,lost_state,no,medium,"2,2-dimethylbut-3-en-1-yl: carbon 1 is the attachment carbon, carbon 2 is C with two methyl group","The model struggles to consistently define the structure of the reactant, leading to a drift in entity identity and an inconsistent mechanism frame. This is exemplified by the repeated attempts to redefine the structure of the 2,2-dimethylbut-3-en-1-yl group without reaching a stable conclusion.",entity_binding_drift|mechanism_frame_swap|repair_without_recovery,science_strong_lost_state,yes,1,2,symbol_binding,symbolic_manipulation,3,lost_state,no,medium,"2,2-dimethylbut-3-en-1-yl: carbon 1 is the attachment carbon, carbon 2 is C with two methyl group","The model struggles to consistently define the structure of the reactant, leading to a drift in entity identity and an inconsistent mechanism frame. This is exemplified by the repeated attempts to redefine the structure of the 2,2-dimethylbut-3-en-1-yl group without reaching a stable conclusion.",entity_binding_drift|mechanism_frame_swap|repair_without_recovery,3,1,1,0,0,0,1
science,gpqa,gpqa-22,gpqa:gpqa-22,39,0,1,15620,34034,yes,2,symbol_binding,mechanism_tracing,3,lost_state,no,medium,"The carbon chain: carbon 1 is attached to O, carbon 2 has two methyl groups, carbon 3 is part of double bond with carbon 4. So, it's CH2-C(CH3)2-CH=CH2, but with the double bond at 3-4, so carbon 3 is =CH-, carbon 4 is -CH3.","The model's reasoning shows a loss of control over the entity identity and mechanism frame when discussing the structure of the reactant. There is a mismatch in the constraint of the double bond location and the subsequent description of the carbon chain, leading to an unstable state that is not corrected later.",entity_binding_drift|mechanism_frame_swap|constraint_mismatch,science_strong_lost_state,yes,1,2,symbol_binding,mechanism_tracing,3,lost_state,no,medium,"The carbon chain: carbon 1 is attached to O, carbon 2 has two methyl groups, carbon 3 is part of double bond with carbon 4. So, it's CH2-C(CH3)2-CH=CH2, but with the double bond at 3-4, so carbon 3 is =CH-, carbon 4 is -CH3.","The model's reasoning shows a loss of control over the entity identity and mechanism frame when discussing the structure of the reactant. There is a mismatch in the constraint of the double bond location and the subsequent description of the carbon chain, leading to an unstable state that is not corrected later.",entity_binding_drift|mechanism_frame_swap|constraint_mismatch,3,1,1,1,0,0,0
science,gpqa,gpqa-22,gpqa:gpqa-22,56,0,1,15619,36226,yes,2,symbol_binding,symbolic_manipulation,3,lost_state,no,medium,"But-3-en-1-yl would be the group from but-3-ene, which is CH3-CH2-CH=CH2, so but-3-en-1-yl is -CH2-CH=CH-CH3? No: but-3-ene is CH3-CH2-CH=CH2, so carbon 1 is CH3- (carbon with three H's), carbon 2 is CH2- (two H's), carbon 3 is CH= (one H), carbon 4 is CH2 (two H's). So the group but-3-en-1-yl is when you remove H from carbon 1, so carbon 1 was CH3-, becomes -CH2- group attached to carbon 2, so it's -CH2-CH=CH-CH3.","The model exhibits a series of inconsistencies in the naming and structure of the reactant, leading to confusion about the correct structure and mechanism of the reaction. The model fails to maintain a consistent entity identity and mechanism frame, and the constraint of Markovnikov's rule is violated without acknowledgment.",entity_binding_drift|mechanism_frame_swap|constraint_mismatch,science_strong_lost_state,yes,1,2,symbol_binding,symbolic_manipulation,3,lost_state,no,medium,"But-3-en-1-yl would be the group from but-3-ene, which is CH3-CH2-CH=CH2, so but-3-en-1-yl is -CH2-CH=CH-CH3? No: but-3-ene is CH3-CH2-CH=CH2, so carbon 1 is CH3- (carbon with three H's), carbon 2 is CH2- (two H's), carbon 3 is CH= (one H), carbon 4 is CH2 (two H's). So the group but-3-en-1-yl is when you remove H from carbon 1, so carbon 1 was CH3-, becomes -CH2- group attached to carbon 2, so it's -CH2-CH=CH-CH3.","The model exhibits a series of inconsistencies in the naming and structure of the reactant, leading to confusion about the correct structure and mechanism of the reaction. The model fails to maintain a consistent entity identity and mechanism frame, and the constraint of Markovnikov's rule is violated without acknowledgment.",entity_binding_drift|mechanism_frame_swap|constraint_mismatch,3,1,1,1,0,0,0
science,gpqa,gpqa-94,gpqa:gpqa-94,16,1,1,15618,53490,yes,2,symbol_binding,mechanism_tracing,0,minor_slip,yes,medium,"The compound has two double bonds: one is the enone double bond and the other is isolated. Hepta-1,5-dien-4-one: so the chain is C1=C2-C3-C4=O, and C5=C6-C7, but it's 3,3,6-trimethyl, so C3 has two methyl groups, and C6 has a methyl group.","The model's reasoning drifts between different interpretations of the compound's structure, leading to inconsistencies in the description of the double bonds and the assignment of methyl groups.",entity_binding_drift|mechanism_frame_swap|constraint_mismatch,science_no_hard_evidence,no,0,0,none,mechanism_tracing,0,minor_slip,yes,medium,"The compound has two double bonds: one is the enone double bond and the other is isolated. Hepta-1,5-dien-4-one: so the chain is C1=C2-C3-C4=O, and C5=C6-C7, but it's 3,3,6-trimethyl, so C3 has two methyl groups, and C6 has a methyl group.","The model's reasoning drifts between different interpretations of the compound's structure, leading to inconsistencies in the description of the double bonds and the assignment of methyl groups.",none,0,0,0,0,0,0,0
